timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-11 14:00:00,32.580001831055,24.42,829.33361816406,133.24,453.81796264648
2018-04-11 15:00:00,33.896667480469,23.79,706.755859375,59.62,503.39508056641
2018-04-11 16:00:00,33.709999084473,24.32,543.23559570312,48.14,538.59759521484
2018-04-12 08:00:00,22.506666183472,44.93,83.936256408691,140.16,78.730316162109
2018-04-12 09:00:00,22.866666793823,37.63,226.19987487793,92.38,181.02301025391
2018-04-12 10:00:00,25.266666412354,30.57,314.63659667969,65.83,318.11459350586
2018-04-12 11:00:00,27.569999694824,25.65,748.45928955078,63.31,275.77011108398
2018-04-12 12:00:00,28.713333129883,22.28,857.97088623047,59.97,282.1315612793
2018-04-12 13:00:00,30.103332519531,20.16,864.37506103516,68.4,354.43197631836
2018-04-12 14:00:00,31.566667556763,19.05,812.45086669922,98.8,482.76739501953
2018-04-12 15:00:00,32.346664428711,18.77,695.51837158203,65.01,411.41040039062
2018-04-12 16:00:00,33.400001525879,19.36,523.46673583984,37.71,531.32257080078
2018-04-13 08:00:00,20.796667098999,33.43,152.11318969727,62.68,149.84580993652
2018-04-13 09:00:00,25.763332366943,27.77,377.05935668945,57.27,402.72720336914
2018-04-13 10:00:00,28.643333435059,23.6,581.43664550781,68.29,383.1796875
2018-04-13 11:00:00,30.266666412354,21.06,740.06640625,70.36,321.4573059082
2018-04-13 12:00:00,31.989999771118,19.09,835.85913085938,69.03,331.85311889648
2018-04-13 13:00:00,33.930000305176,17.8,860.97222900391,81.89,391.25552368164
2018-04-13 14:00:00,34.206665039062,17.24,818.14477539062,73.58,444.34591674805
2018-04-13 15:00:00,34.396667480469,16.95,725.4921875,44.97,517.16442871094
2018-04-13 16:00:00,34.383335113525,17.55,544.50390625,26.05,556.17205810547
2018-04-14 08:00:00,18.333333969116,35.41,161.07417297363,80.24,163.59014892578
2018-04-14 09:00:00,20.630001068115,28.17,393.48092651367,92.96,356.11569213867
2018-04-14 10:00:00,22.430000305176,22.09,605.25769042969,69.5,216.91412353516
2018-04-14 11:00:00,23.879999160767,18.06,767.36828613281,74.95,135.46272277832
2018-04-14 12:00:00,26.126667022705,15.59,864.23413085938,60.54,163.66213989258
2018-04-14 13:00:00,27.746667861938,14.3,889.00061035156,70.03,203.15170288086
2018-04-14 14:00:00,28.780000686646,13.75,837.33599853516,69.89,222.0470123291
2018-04-14 15:00:00,29.726667404175,13.63,715.99237060547,45.76,353.96228027344
2018-04-14 16:00:00,29.989999771118,13.92,542.46618652344,31.56,460.47885131836
2018-04-15 08:00:00,16.076665878296,34.95,162.58178710938,55.84,165.77517700195
2018-04-15 09:00:00,19.543333053589,28.21,394.28479003906,56.98,329.03448486328
2018-04-15 10:00:00,22.326665878296,23.37,606.41906738281,58.42,197.63667297363
2018-04-15 11:00:00,24.446666717529,20.14,767.60662841797,55.93,110.41371154785
2018-04-15 12:00:00,25.916666030884,17.91,864.61047363281,55.56,115.04211425781
2018-04-15 13:00:00,27.463333129883,16.59,887.04241943359,51.99,170.08401489258
2018-04-15 14:00:00,28.073333740234,15.86,836.35906982422,51.36,232.76318359375
2018-04-15 15:00:00,29.5,15.72,712.720703125,87.4,302.41970825195
2018-04-15 16:00:00,29.696666717529,16.05,536.68121337891,52.32,411.26647949219
2018-04-16 08:00:00,17.569999694824,35.19,152.41090393066,52.17,155.87928771973
2018-04-16 09:00:00,21.376667022705,26.27,381.54760742188,54.95,335.52813720703
2018-04-16 10:00:00,24.60000038147,21.09,584.30487060547,56.18,275.75424194336
2018-04-16 11:00:00,26.913333892822,17.93,744.23132324219,122.85,184.13040161133
2018-04-16 12:00:00,28.043333053589,16.46,841.05224609375,150.12,181.94422912598
2018-04-16 13:00:00,29.219999313354,16.09,864.02410888672,271.69,252.92224121094
2018-04-16 14:00:00,30.15333366394,16.11,841.90588378906,226.16,264.92501831055
2018-04-16 15:00:00,30.610000610352,16.49,519.28118896484,87.04,414.12188720703
2018-04-16 16:00:00,30.629999160767,17.38,567.81225585938,33.48,448.26345825195
2018-04-17 08:00:00,18.463333129883,30.52,82.882385253906,90.84,85.549545288086
2018-04-17 09:00:00,21.040000915527,24.42,353.66638183594,94.6,354.53964233398
2018-04-17 10:00:00,23.943332672119,20.9,578.79528808594,137.56,282.15451049805
2018-04-17 11:00:00,26.543333053589,19.08,734.76086425781,198.09,218.08934020996
